id,title,identifier,identifier2
21264,Monster Superlanche,pragmaticexternal:MonsterSuperlanche,vs20superlanche
21326,Joker's Jewels Dice,pragmaticexternal:JokersJewelsDice,vs5jokerdice
21327,Sweet Bonanza Dice,pragmaticexternal:SweetBonanzaDice,vs20bnnzdice
21328,The Dog House Dice Show,pragmaticexternal:TheDogHouseDiceShow,vs20dhdice
21350,Fantastic League,pragmaticexternal:FantasticLeague,vplfl6
21351,Fire Archer,pragmaticexternal:FireArcher,vs25archer
21352,Force 1,pragmaticexternal:Force1,vpmr9
21353,Greyhound Racing,pragmaticexternal:GreyhoundRacing,vpdr7
21354,Horse Racing,pragmaticexternal:HorseRacing,vpfh3
21355,Penalty Shootout,pragmaticexternal:PenaltyShootout,vppso4
21356,Steeplechase,pragmaticexternal:Steeplechase,vpsc10
21579,Club Tropicana,pragmaticexternal:ClubTropicana,vs12tropicana
21953,Wild West Duels,pragmaticexternal:WildWestDuels,vs20pistols
21964,Peak Power,pragmaticexternal:PeakPower,vs10powerlines
21965,Wild Wild Riches Megaways,pragmaticexternal:WildWildRichesMegaways,vswayswwriches
22038,Mystery of the Orient,pragmaticexternal:MysteryoftheOrient,vswaysmorient
22075,Mochimon,pragmaticexternal:Mochimon,vs20mochimon
22078,Cowboy Coins,pragmaticexternal:CowboyCoins,vswaysultrcoin
22079,The Dog House Multihold,pragmaticexternal:TheDogHouseMultihold,vs20doghousemh
22202,Jasmine Dreams,pragmaticexternal:JasmineDreams,vs20mvwild
22267,The Knight King,pragmaticexternal:TheKnightKing,vs20sknights
22293,Rabbit Garden,pragmaticexternal:RabbitGarden,vs20goldclust
22329,Big Bass - Hold & Spinner,pragmaticexternal:BigBassHoldandSpinner,vs10bbhas
22454,The Red Queen,pragmaticexternal:TheRedQueen,vswaysredqueen
22497,Gods of Giza,pragmaticexternal:GodsofGiza,vs10gizagods
22506,African Elephant,pragmaticexternal:AfricanElephant,vs20hotzone
22606,Wild Celebrity Bus Megaways,pragmaticexternal:WildCelebrityBusMegaways,vswaysrsm
22727,3 Dancing Monkeys,pragmaticexternal:3DancingMonkeys,vswaysmonkey
22728,Jane Hunter and the Mask of Montezuma,pragmaticexternal:JaneHunterandtheMaskofMontezuma,vs10jnmntzma
22822,Excalibur Unleashed,pragmaticexternal:ExcaliburUnleashed,vs20excalibur
22823,Kingdom of The Dead,pragmaticexternal:KingdomofTheDead,vs10kingofdth
25700,Diamonds Of Egypt,pragmaticexternal:DiamondsOfEgypt,""
25726,Wild Bison Charge,pragmaticexternal:WildBisonCharge,""
25768,Knight Hot Spotz,pragmaticexternal:KnightHotSpotz,""
25905,Lamp Of Infinity,pragmaticexternal:LampOfInfinity,""
25997,Asgard Jackpot,pragmaticexternal:AsgardJackpot,""
25998,Big Bass Bonanza Jackpot Play,pragmaticexternal:BigBassBonanzaJackpotPlay,""
25999,Big Bass Splash Jackpot Play,pragmaticexternal:BigBassSplashJackpotPlay,""
26000,Book of Tut Jackpot Play,pragmaticexternal:BookofTutJackpotPlay,""
26001,Crown of Fire Jackpot Play,pragmaticexternal:CrownofFireJackpotPlay,""
26002,Fire Hot 100 Jackpot Play,pragmaticexternal:FireHot100JackpotPlay,""
26003,Fire Hot 20 Jackpot Play,pragmaticexternal:FireHot20JackpotPlay,""
26004,Fire Hot 40 Jackpot Play,pragmaticexternal:FireHot40JackpotPlay,""
26005,Fire Hot 5 Jackpot Play,pragmaticexternal:FireHot5JackpotPlay,""
26006,Fruit Party Jackpot Play,pragmaticexternal:FruitPartyJackpotPlay,""
26007,Gates of Olympus Jackpot Play,pragmaticexternal:GatesofOlympusJackpotPlay,""
26008,Hot to Burn Jackpot Play,pragmaticexternal:HottoBurnJackpotPlay,""
26009,Joker's Jewels Jackpot Play,pragmaticexternal:JokersJewelsJackpotPlay,""
26010,Madame Destiny Megaways Jackpot,pragmaticexternal:MadameDestinyMegawaysJackpot,""
26011,Shining Hot 100 Jackpot Play,pragmaticexternal:ShiningHot100JackpotPlay,""
26012,Shining Hot 20 Jackpot Play,pragmaticexternal:ShiningHot20JackpotPlay,""
26013,Shining Hot 40 Jackpot Play,pragmaticexternal:ShiningHot40JackpotPlay,""
